姜洪杰
	点击劫持:0个
春告鳥
	高危:9个
	中危:80个
	低危:22个
	严重:9个
	总数:120个
	SQL:27个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:2个
	其他:22个
	命令执行:5个
	垂直权限:1个
	弱口令:41个
	敏感信息:22个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
S_WZ
	低危:11个
	中危:81个
	高危:20个
	严重:8个
	总数:120个
	SQL:37个
	CSRF:0个
	SSRF:0个
	XSS:3个
	代码执行:0个
	其他:16个
	命令执行:11个
	垂直权限:0个
	弱口令:35个
	敏感信息:1个
	文件上传:10个
	水平权限:7个
	点击劫持:0个
Is4b3lla3
	低危:4个
	高危:69个
	中危:43个
	总数:116个
	SQL:1个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:2个
	其他:107个
	命令执行:0个
	垂直权限:1个
	弱口令:4个
	敏感信息:0个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
miss
	低危:115个
	中危:1个
	总数:116个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:4个
	命令执行:0个
	垂直权限:0个
	弱口令:2个
	敏感信息:110个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
along
	低危:85个
	中危:23个
	高危:3个
	严重:1个
	总数:112个
	SQL:3个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:8个
	命令执行:0个
	垂直权限:0个
	弱口令:30个
	敏感信息:71个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
六六
	中危:40个
	低危:36个
	严重:19个
	高危:11个
	总数:106个
	SQL:1个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:0个
	命令执行:19个
	垂直权限:30个
	弱口令:9个
	敏感信息:42个
	文件上传:5个
	水平权限:0个
	点击劫持:0个
刘老师
	中危:11个
	低危:92个
	总数:103个
	SQL:4个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:9个
	命令执行:0个
	垂直权限:0个
	弱口令:6个
	敏感信息:84个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
F1001sec_D...
	低危:73个
	中危:22个
	高危:6个
	严重:1个
	总数:102个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:1个
	其他:16个
	命令执行:0个
	垂直权限:0个
	弱口令:7个
	敏感信息:78个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
AJATAR_星盟
	高危:48个
	严重:4个
	中危:35个
	低危:14个
	总数:101个
	SQL:7个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:1个
	其他:17个
	命令执行:4个
	垂直权限:0个
	弱口令:68个
	敏感信息:1个
	文件上传:3个
	水平权限:0个
	点击劫持:0个
default
	中危:60个
	高危:12个
	低危:26个
	总数:98个
	SQL:68个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:19个
	命令执行:0个
	垂直权限:0个
	弱口令:4个
	敏感信息:7个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
NonSafety
	中危:41个
	高危:19个
	严重:6个
	低危:30个
	总数:96个
	SQL:14个
	CSRF:0个
	SSRF:0个
	XSS:4个
	代码执行:0个
	其他:2个
	命令执行:9个
	垂直权限:5个
	弱口令:11个
	敏感信息:51个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
p1ay2win
	低危:19个
	中危:48个
	高危:26个
	严重:1个
	总数:94个
	SQL:43个
	CSRF:0个
	SSRF:0个
	XSS:8个
	代码执行:0个
	其他:10个
	命令执行:16个
	垂直权限:0个
	弱口令:3个
	敏感信息:8个
	文件上传:3个
	水平权限:3个
	点击劫持:0个
此卦
	低危:47个
	中危:43个
	高危:4个
	总数:94个
	SQL:2个
	CSRF:10个
	SSRF:0个
	XSS:11个
	代码执行:0个
	其他:62个
	命令执行:0个
	垂直权限:0个
	弱口令:9个
	敏感信息:0个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
Xgstar
	中危:48个
	高危:11个
	低危:32个
	总数:91个
	SQL:32个
	CSRF:0个
	SSRF:0个
	XSS:2个
	代码执行:0个
	其他:25个
	命令执行:0个
	垂直权限:4个
	弱口令:17个
	敏感信息:3个
	文件上传:7个
	水平权限:1个
	点击劫持:0个
elevenk
	高危:80个
	低危:7个
	总数:87个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:7个
	命令执行:79个
	垂直权限:0个
	弱口令:0个
	敏感信息:1个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
T4KING
	低危:85个
	总数:85个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:0个
	命令执行:0个
	垂直权限:0个
	弱口令:0个
	敏感信息:85个
	文件上传:0个
	水平权限:0个
	点击劫持:0个
小远
	高危:43个
	低危:26个
	中危:12个
	总数:81个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:11个
	命令执行:33个
	垂直权限:0个
	弱口令:3个
	敏感信息:22个
	文件上传:12个
	水平权限:0个
	点击劫持:0个
旗木五五开
	高危:72个
	中危:5个
	低危:1个
	严重:3个
	总数:81个
	SQL:0个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:0个
	其他:56个
	命令执行:5个
	垂直权限:0个
	弱口令:2个
	敏感信息:0个
	文件上传:18个
	水平权限:0个
	点击劫持:0个
帆帆
	中危:5个
	低危:74个
	总数:79个
	SQL:1个
	CSRF:0个
