上海交通大学
	SSRF:1个
	XSS:6个
	代码执行:2个
	其他:0个
	命令执行:6个
	垂直权限:3个
	弱口令:20个
	敏感信息:16个
	文件上传:4个
	水平权限:2个
	点击劫持:0个
山东理工大学
	低危:38个
	中危:25个
	严重:1个
	高危:3个
	总数:67个
	SQL:4个
	CSRF:0个
	SSRF:0个
	XSS:1个
	代码执行:1个
	其他:0个
	命令执行:1个
	垂直权限:1个
	弱口令:25个
	敏感信息:29个
	文件上传:2个
	水平权限:3个
	点击劫持:0个
厦门大学
	低危:45个
	高危:5个
	中危:11个
	总数:61个
	SQL:5个
	CSRF:0个
	SSRF:0个
	XSS:5个
	代码执行:1个
	其他:0个
	命令执行:1个
	垂直权限:1个
	弱口令:18个
	敏感信息:27个
	文件上传:3个
	水平权限:0个
	点击劫持:0个
武汉大学
	高危:7个
	低危:30个
	中危:19个
	严重:4个
	总数:60个
	SQL:4个
	CSRF:0个
	SSRF:1个
	XSS:2个
	代码执行:0个
	其他:0个
	命令执行:5个
	垂直权限:2个
	弱口令:21个
	敏感信息:20个
	文件上传:3个
	水平权限:1个
	点击劫持:1个
中国石油大学
	低危:52个
	中危:3个
	高危:3个
	总数:58个
	SQL:1个
	CSRF:0个
	SSRF:0个
	XSS:2个
	代码执行:2个
	其他:0个
	命令执行:0个
	垂直权限:0个
	弱口令:6个
	敏感信息:44个
	文件上传:1个
	水平权限:2个
	点击劫持:0个
中国人民大学
	中危:15个
	低危:34个
	高危:8个
	总数:57个
	SQL:2个
	CSRF:0个
	SSRF:0个
	XSS:4个
	代码执行:2个
	其他:0个
	命令执行:2个
	垂直权限:0个
	弱口令:17个
	敏感信息:25个
	文件上传:1个
	水平权限:4个
	点击劫持:0个
北京大学
	低危:35个
	中危:15个
	高危:6个
	总数:56个
	SQL:6个
	CSRF:0个
	SSRF:0个
	XSS:6个
	代码执行:1个
	其他:0个
	命令执行:3个
	垂直权限:0个
	弱口令:9个
	敏感信息:27个
	文件上传:4个
	水平权限:0个
	点击劫持:0个
河南省教育厅
	中危:21个
	低危:22个
	高危:10个
	严重:1个
	总数:54个
	SQL:13个
	CSRF:0个
	SSRF:0个
	XSS:1个
	代码执行:0个
	其他:0个
	命令执行:2个
	垂直权限:0个
	弱口令:17个
	敏感信息:13个
	文件上传:6个
	水平权限:0个
	点击劫持:2个
中国科学技术大学
	低危:26个
	中危:15个
	高危:8个
	严重:5个
	总数:54个
	SQL:4个
	CSRF:0个
	SSRF:0个
	XSS:0个
	代码执行:4个
	其他:0个
	命令执行:6个
	垂直权限:0个
	弱口令:18个
	敏感信息:19个
	文件上传:3个
	水平权限:0个
	点击劫持:0个
上海理工大学
	低危:20个
	中危:21个
	高危:7个
	严重:1个
	总数:49个
	SQL:12个
	CSRF:0个
	SSRF:0个
	XSS:1个
	代码执行:0个
	其他:0个
	命令执行:1个
